,OrderID,OrderDate,ProductID,RegionID,Quantity,TotalRevenue,unitprice,regionname,country,productname,category,Total_Rev,Ranking,Year,month
0,5011,2025-07-04,107,5,5,42500.0,8500.0,Middle East,UAE,4K Webcam,Electronics,51000.0,1,2025,July
1,5019,2026-02-14,107,2,1,8500.0,8500.0,Europe,UK,4K Webcam,Electronics,51000.0,2,2026,February
2,5008,2025-04-12,106,3,10,8000.0,800.0,Asia-Pacific,INDIA,Ergonomic Mouse Pad,Accessories,8000.0,1,2025,April
3,5016,2025-12-05,101,3,3,225000.0,75000.0,Asia-Pacific,INDIA,Laptop Pro,Electronics,600000.0,1,2025,December
4,5001,2025-01-15,101,3,2,150000.0,75000.0,Asia-Pacific,INDIA,Laptop Pro,Electronics,600000.0,2,2025,January
5,5004,2025-02-12,101,2,1,75000.0,75000.0,Europe,UK,Laptop Pro,Electronics,600000.0,3,2025,February
6,5007,2026-01-15,101,3,1,75000.0,75000.0,Asia-Pacific,INDIA,Laptop Pro,Electronics,600000.0,3,2026,January
7,5012,2025-08-19,101,6,1,75000.0,75000.0,Southeast Asia,SINGAPORE,Laptop Pro,Electronics,600000.0,3,2025,August
8,5020,2026-03-01,105,5,4,18000.0,4500.0,Middle East,UAE,Mechanical Keyboard,Accessories,27000.0,1,2026,March
9,5006,2025-03-10,105,4,2,9000.0,4500.0,South America,BRAZIL,Mechanical Keyboard,Accessories,27000.0,2,2025,March
10,5005,2025-03-01,104,3,3,45000.0,15000.0,Asia-Pacific,INDIA,Monitor 24 inch,Electronics,75000.0,1,2025,March
11,5018,2026-01-10,104,6,2,30000.0,15000.0,Southeast Asia,SINGAPORE,Monitor 24 inch,Electronics,75000.0,2,2026,January
12,5010,2025-06-15,110,2,2,36000.0,18000.0,Europe,UK,Noise Cancelling Headphones,Electronics,54000.0,1,2025,June
13,5015,2025-11-28,110,1,1,18000.0,18000.0,North America,USA,Noise Cancelling Headphones,Electronics,54000.0,2,2025,November
14,5014,2025-10-10,103,2,3,36000.0,12000.0,Europe,UK,Office Chair,Furniture,48000.0,1,2025,October
15,5003,2025-02-05,103,1,1,12000.0,12000.0,North America,USA,Office Chair,Furniture,48000.0,2,2025,February
16,5009,2025-05-20,108,1,1,35000.0,35000.0,North America,USA,Standing Desk,Furniture,35000.0,1,2025,May
17,5013,2025-09-25,109,3,4,10000.0,2500.0,Asia-Pacific,INDIA,USB-C Hub,Accessories,10000.0,1,2025,September
18,5017,2025-12-20,102,3,15,22500.0,1500.0,Asia-Pacific,INDIA,Wireless Mouse,Accessories,30000.0,1,2025,December
19,5002,2025-01-20,102,3,5,7500.0,1500.0,Asia-Pacific,INDIA,Wireless Mouse,Accessories,30000.0,2,2025,January
